rec_id,first_name,last_name,gender,dob,city,health_id,national_id
rec-00000062-aaa-0,Sharon,Hassan,Female,19990917,Maralal,011-227-2939,200408308239513
rec-00000063-aaa-0,Thomas,Deng,Male,19970625,Nairobi,091-426-4886,200105055009463
rec-00000064-aaa-0,Margaret,Mwende,Female,20131122,Kikuyu,011-114-3078,200001013077679
rec-00000064-bbb-0,Margraet,Mwence,Female,,Kikuyu,,
rec-00000064-bbb-1,Margaret,,,20131122,,011-q14-3078,
rec-00000065-aaa-0,Irene,Wanja,Female,19981223,Bungoma,011-654-5254,199506196199155
rec-00000065-bbb-0,,pWanyja,Female,,,011-654-5254,
rec-00000065-bbb-1,Rennie,Wanj,,,,011-654-5254,199506196199155
rec-00000066-aaa-0,Kerubo,Wainaina,Female,19970625,Kakuma,091-470-0410,199907263483246
rec-00000067-aaa-0,Deborah,Kamau,Female,20000829,Kisumu,057-815-6549,199808206846809
rec-00000068-aaa-0,Lydia,Nyongesa,Female,19990415,Nakuru,034-919-9091,200011077285079
rec-00000069-aaa-0,Korir,Nasimiyu,Female,19960812,Nairobi,011-111-1696,199501042375877
rec-00000070-aaa-0,Zeinab,Mutuma,Female,20010818,Malindi,091-601-4870,200008030149461
rec-00000071-aaa-0,Mary,Akinyi,Female,20070812,Kisumu,011-652-6430,199712277219144
rec-00000071-bbb-0,ary,Akinhi,,20070812,Kisumu,011-652-6530,19971227729144
rec-00000072-aaa-0,Richard,Keter,Male,20010202,Nairobi,091-888-6499,201404123706738
rec-00000072-bbb-0,Rikhardz,,,20010202,,091-888-6499,201490413370738
rec-00000073-aaa-0,Moses,Okello,Male,19940808,Athi River (Mavoko),011-448-3999,199606124293803
rec-00000074-aaa-0,Damaris,Akinyi,Female,20081215,Nairobi,011-112-9942,200604084982287
rec-00000075-aaa-0,Mwangi,Obiero,Female,20080604,Maragua,011-409-6904,200204298456452
rec-00000076-aaa-0,Lilian,Adan,Female,20030430,Kitale,098-111-4518,200109241695954
rec-00000077-aaa-0,Allan,Muuo,Male,19981230,Nambale,025-076-1239,200306078915715
rec-00000078-aaa-0,Daniel,Paul,Male,20091122,Nairobi,011-111-2710,200410218930971
rec-00000079-aaa-0,Onyango,Aden,Male,19980903,Kitui,058-343-0476,201103129620301
rec-00000080-aaa-0,Samuel,Muthoka,Male,20020801,Vihiga,011-114-0658,199408179062069
rec-00000081-aaa-0,David,Cheptoo,Male,20000414,Thika,046-647-3906,200003150997054
rec-00000082-aaa-0,Hillary,Kipsang,Male,20060908,Mtwapa,091-407-7032,199603024459863
rec-00000082-bbb-0,Hiloary,Kipsang,Male,20060008,,091-4o7-7032,
rec-00000083-aaa-0,Wycliffe,Joseph,Male,19951129,Kikuyu,091-780-7235,199901031301919
rec-00000084-aaa-0,Sarah,Kiprotich,Female,20070623,Karuri,011-384-3354,201211238319324
rec-00000085-aaa-0,Loice,Ouma,Female,20030530,Ruiru,011-377-6700,199905280556972
rec-00000086-aaa-0,Isaac,Ahmed,Male,19991012,Makuyu,011-654-4292,200804163481528
rec-00000087-aaa-0,Margaret,Wambui,Female,20021206,Juja,011-111-9739,200210225596185
rec-00000087-bbb-0,Maahgaret,Wambuy,Female,,,011-111-9739,2090210225596185
rec-00000088-aaa-0,Elizabeth,Omari,Female,19951118,Kisumu,046-849-7264,199812257286448
rec-00000089-aaa-0,Caroline,Wambui,Female,19990730,Mandera,046-692-8144,199702184606801
rec-00000090-aaa-0,Sharon,Saidi,Female,20001207,Mombasa,058-447-6215,200604117739524
rec-00000091-aaa-0,Elias,Otieno,Male,20080923,Nairobi,011-377-5822,200108279123232
rec-00000091-bbb-0,wliast,Oieno,,20080923,Nairobi,,200208279123232
rec-00000092-aaa-0,Vincent,Gitari,Male,20010908,Nyansiongo,098-111-7359,199703196621953
rec-00000093-aaa-0,Nehemiah,Otieno,Male,20050511,Kiambu,025-924-4041,199707202228497
rec-00000093-bbb-0,Neeomiah,Otino,Male,,,025-924-4041,1997070222w8497
rec-00000093-bbb-1,Neemoah,Oduneo,,20050511,,025-924-4041,1997072202228497
rec-00000094-aaa-0,Yunis,Mutisya,Male,20021013,Ongata Rongai,011-591-3216,199403015146989
rec-00000095-aaa-0,Joan,Ouma,Female,20140814,Nakuru,011-652-5101,199202158147487
rec-00000095-bbb-0,,Ouma,,20q40814,,011-652-5101,
rec-00000096-aaa-0,Emilly,Hussein,Female,20060925,Athi River (Mavoko),091-437-5017,199909210319779
rec-00000097-aaa-0,Karanja,Obiero,Male,19860218,Nairobi,011-655-6217,199605245811847
rec-00000098-aaa-0,Samwel,Wachira,Male,19981122,Kericho,057-362-9329,199206119840478
rec-00000098-bbb-0,Samwel,Wach8ra,,19981123,,057-362-9329,1992061319840478
rec-00000099-aaa-0,John,Chelimo,Male,19950218,Mtwapa,011-112-5317,199707207336117
rec-00000099-bbb-0,Johh,Celimo,Male,1995021i,Mtwapa,011-112-5e17,19970720y336117
rec-00000100-aaa-0,Benson,Ochieng,Male,19991218,Kamulu,091-109-6391,199412151995399
rec-00000100-bbb-0,Bendon,Ochieng,,,Kamulu,,199412511995399
rec-00000101-aaa-0,Michael,Maina,Male,20050826,Tabaka,033-042-5314,200301226494442
rec-00000102-aaa-0,Kariuki,Kamau,Female,20080126,Kikuyu,011-652-1856,200012283518493
rec-00000102-bbb-0,Kariuki,Kamo,Female,,,,200012q83518493
rec-00000103-aaa-0,Rachael,Ismail,Female,20000726,Runyenjes,057-334-7050,200201202523457
rec-00000104-aaa-0,Abdalla,Gatwiri,Male,19970217,Nakuru,011-112-1769,199801162057872
rec-00000105-aaa-0,Joseph,Gathoni,Male,20050409,Nakuru,058-445-0534,200208135923038
rec-00000106-aaa-0,Joseph,Nyakundi,Male,19960820,Nakuru,022-557-8946,199902162849668
rec-00000107-aaa-0,Erick,Akoth,Male,19920921,Nairobi,011-111-6075,200308132340835
rec-00000108-aaa-0,Carolyne,Maritim,Female,19900111,Rumuruti,011-652-3338,200302190731039
rec-00000109-aaa-0,Judith,Maiyo,Female,19990822,Kisumu,034-592-8061,200101267760333
rec-00000110-aaa-0,Halima,Maina,Female,19910307,Nairobi,022-997-9946,199407149292248
rec-00000110-bbb-0,Halima,,,19910307,,022-99u-9946,199407149291248
rec-00000110-bbb-1,Halima,,,,,,199407149292248
rec-00000111-aaa-0,Lydia,Waweru,Female,20031208,Nairobi,034-961-0517,200004166851626
rec-00000111-bbb-0,Lydka,,,20031208,,034-961-0517,
rec-00000111-bbb-1,Lyoa,Waweur,Female,,Nairobi,034-9y1-0517,
rec-00000112-aaa-0,Philemon,Adhiambo,Male,19950120,Maralal,091-787-9690,200205165661583
rec-00000113-aaa-0,Karanja,Munyi,Female,20010612,Rongo,091-878-6235,198906134881359
rec-00000113-bbb-0,Karjnja,,,20010612,,091-878-6235,1989o6134881459
rec-00000114-aaa-0,Kelvin,Muema,Male,19960224,Nairobi,034-826-7555,199907034605663
rec-00000115-aaa-0,Maryanne,Wanyonyi,Female,19981207,Kikuyu,011-112-8090,199712055511223
rec-00000116-aaa-0,Mirriam,Nyamai,Female,20030511,Narok,011-651-5187,200103290614152
rec-00000117-aaa-0,Jerop,Issack,Female,20060618,Nairobi,011-654-0986,200409241275185
rec-00000118-aaa-0,Sharon,Mwikali,Female,19940118,Maralal,011-248-6548,200002080301862
rec-00000118-bbb-0,Sharon,Mwikalix,Female,,,011-249-6548,
rec-00000118-bbb-1,,Mikali,Female,,Maralal,,20000280301862
rec-00000119-aaa-0,Kipngetich,Sammy,Male,19940319,Chuka,091-811-4833,200104131489121
rec-00000120-aaa-0,Priscilla,Otieno,Female,19950328,Maralal,034-491-0631,200708122420808
rec-00000120-bbb-0,Proscilla,Otiebo,,19960328,Maralal,034-491-0631,200070812420808
rec-00000121-aaa-0,Denis,Opondo,Male,19981107,Moyale,033-374-7393,200403071992209
rec-00000121-bbb-0,Deniz,Opondo,,,Moyale,,
rec-00000121-bbb-1,Denij,Opondo,,19981107,,033-3y4-7393,20040307199220
rec-00000122-aaa-0,Ali,Edin,Male,20020311,Embu,091-796-3785,200409082949558
rec-00000123-aaa-0,Kevin,Maina,Male,20030825,Mwingi,057-497-3954,199611071372927
rec-00000123-bbb-0,Kevim,Mainya,,,Mwingi,057-497-3954,
rec-00000124-aaa-0,Antony,Mutisya,Male,20010802,Awasi,011-651-8418,199707175700722
rec-00000125-aaa-0,Christine,Chepkoech,Female,20030710,Meru,091-453-2418,201009053672924
rec-00000126-aaa-0,William,Moses,Male,20040918,Mombasa,011-112-0769,200506069724683
rec-00000126-bbb-0,Wililam,Moses,,,,,200506069724683
rec-00000126-bbb-1,Wiliam,Mozws,,20p40918,Mombasa,011-112-0769,200507069724683
rec-00000127-aaa-0,Peter,Gatwiri,Male,19950723,Kimilili,091-169-7271,200102259408697
rec-00000128-aaa-0,Ahmed,Onyango,Male,19940815,Ruai,011-652-0267,200706288921824
rec-00000129-aaa-0,Josephat,Kiptanui,Male,19920401,Nyamira,098-119-9072,200110204260623
rec-00000130-aaa-0,Salim,Jerotich,Male,19960116,Vihiga,011-486-6614,198910172344852
rec-00000131-aaa-0,Faith,Mukami,Female,20050911,Ruiru,011-655-3374,199011202674776
rec-00000132-aaa-0,Caroline,Kipsang,Female,20050724,Nyeri,011-111-9837,200211126448281
rec-00000132-bbb-0,Cnrloin,Kipsng,Female,,Nyeri,,
rec-00000132-bbb-1,Carolin,Kispang,Female,20050724,,,
rec-00000133-aaa-0,Abdinasir,Odhiambo,Female,20030130,Nairobi,011-651-8961,199901041801237
rec-00000133-bbb-0,,Odhiambo,Female,2.00E+05,,012-651-8961,99901041801237
rec-00000134-aaa-0,Doreen,Jemutai,Female,20051001,Migori,011-112-1208,199209052330775
rec-00000135-aaa-0,Pius,Kamande,Male,19970825,Eldama Ravine,025-973-2646,199307064662058
rec-00000136-aaa-0,Rose,Ochieng,Female,20000413,Migori,047-410-3728,200006094966611
rec-00000137-aaa-0,Albert,Opiyo,Male,20040117,Wote,011-654-7243,200503049732998
rec-00000137-bbb-0,,,Male,,,011-654-7243,20050349732998
rec-00000138-aaa-0,Annet,Mukhwana,Female,20030803,Nairobi,011-384-5497,200209175249871
rec-00000138-bbb-0,Arnnet,Mukhwana,,,,011-384-5497,200209175249571
rec-00000138-bbb-1,Annwg,Mukhwana,,,,011-384-5497,2002209175249871
rec-00000139-aaa-0,Wanjiru,Said,Female,19990604,Malava,011-574-2774,200312222425059
rec-00000139-bbb-0,,Said,,19990604,,011-574-2y74,2003122224250592
rec-00000140-aaa-0,Dancan,Adhiambo,Male,19921106,Mombasa,091-820-9936,200704200855012
rec-00000140-bbb-0,Dankan,Adhiambo,,,Mombasa,092-920-9936,
rec-00000141-aaa-0,Joseph,Ndungu,Male,20040109,Makuyu,091-808-2299,200004286441938
rec-00000142-aaa-0,Isaac,Muya,Male,19920621,Nairobi,098-111-9008,198910278717217
rec-00000142-bbb-0,,uya,,19920621,,098-111-9008,198o10278717217
rec-00000142-bbb-1,,uMya,,19920621,,098-111-9008,
rec-00000143-aaa-0,Ken,Mutua,Male,20040309,Londiani,057-185-9541,200910038980065
rec-00000143-bbb-0,Kne,Mutua,,2004030i,,057-185-9541,
rec-00000144-aaa-0,Daud,Njiru,Male,19940920,Yala,046-845-0060,199101219914158
rec-00000145-aaa-0,Muriithi,Etyang,Male,19921210,Kakuma,011-651-4251,200111162333128
rec-00000146-aaa-0,John,Wafula,Male,20110504,Athi River (Mavoko),022-010-5785,200111142622033
rec-00000147-aaa-0,Abdullahi,Kenga,Male,20060310,Molo,091-825-5614,199706199454245
rec-00000148-aaa-0,Oscar,Muli,Male,19961126,Keroka,011-111-2511,200711224781303
rec-00000148-bbb-0,Ozcat,Muli,,19961q26,Keroka,,
rec-00000149-aaa-0,Roseline,Ochieng,Female,19880403,Kapenguria,057-039-7859,199703164582987
rec-00000149-bbb-0,Rosline,Okhieng,,1987p403,Kapenguria,057-039-7859,19su03164582987
rec-00000150-aaa-0,Ian,Juma,Male,19960915,Webuye,091-767-4640,199910117157799
rec-00000151-aaa-0,Purity,Komen,Female,19950623,Kerugoya/Kutus,022-501-2741,199710098259617
rec-00000151-bbb-0,Puri6y,Komen,Female,19950y23,,022-501-2y41,
rec-00000151-bbb-1,Purodp,Komen,,19950623,,022-501-27r1,199310099159617
rec-00000152-aaa-0,Onyango,Wanjiku,Male,19961225,Nyamira,058-436-4199,199010146700385
rec-00000153-aaa-0,Joseph,Kariuki,Male,19981228,Nairobi,011-111-4763,199606030722986
rec-00000154-aaa-0,Phillip,Mutungi,Male,20030811,Nairobi,025-086-2502,199606088201587
rec-00000155-aaa-0,James,Kiptoo,Male,20060120,Kikuyu,011-114-7067,199903082598484
rec-00000156-aaa-0,Mercy,Kipkemoi,Female,19910107,Nairobi,011-112-3454,199811256425969
rec-00000157-aaa-0,Geoffrey,Kwamboka,Male,20010117,Nyahururu,011-651-2197,200502085511697
rec-00000158-aaa-0,Maina,Muya,Male,19970803,Nairobi,011-655-0248,200201074765541
rec-00000158-bbb-0,Maina,Muia,Male,,,,2002012074765741
rec-00000159-aaa-0,Joel,Kemboi,Male,19990817,Nakuru,011-652-1033,200502259383624
rec-00000160-aaa-0,Kamau,Adhiambo,Male,20060126,Taveta,011-205-9449,199609137035972
rec-00000160-bbb-0,Kamau,Adhimbo,,20060126,,012-205-9449,
rec-00000161-aaa-0,Tabitha,Cheptoo,Female,19970409,Nairobi,025-861-3389,199805048820193
rec-00000162-aaa-0,Mwanzia,Adhiambo,Male,19960328,Kimilili,011-655-6140,200009082893401
rec-00000163-aaa-0,Caroline,Mutua,Female,19981206,Nyamira,011-111-6505,200206143538162
rec-00000163-bbb-0,,Mutua,Female,1998q206,,,
rec-00000164-aaa-0,Joyce,Chepkorir,Female,20070720,Nairobi,034-492-4825,200711021347785
rec-00000165-aaa-0,Tracy,Wafula,Female,20070312,Nanyuki,011-112-3289,199912082847301
rec-00000166-aaa-0,Chepkorir,Nderitu,Female,19990829,Mandera,011-366-7695,200104163290945
rec-00000166-bbb-0,Chepkorir,Nderiti,Female,,,,
rec-00000167-aaa-0,Leah,Okoth,Female,19951205,Ruiru,046-760-5117,200310205544932
rec-00000168-aaa-0,Vivian,Odhiambo,Female,20010815,Runyenjes,034-853-7061,200401133358598
rec-00000168-bbb-0,Vifiab,Odhiambo,,20010815,,034-853-7961,
rec-00000168-bbb-1,Viian,Odtoampo,Female,2001081r,,034-853-7061,
rec-00000169-aaa-0,Edna,Said,Female,19970515,Nairobi,011-254-5731,200310070543687
rec-00000170-aaa-0,Nancy,Maingi,Female,19961017,Vihiga,011-652-1251,199106184815757
rec-00000171-aaa-0,Hannah,Otieno,Female,19940913,Kisumu,011-655-1424,200510173845374
rec-00000171-bbb-0,Hqnnah,Otieno,,19940913,,011-655-2424,
rec-00000171-bbb-1,Hanay,Oyieno,,19940913,Kisumu,011-65r-1424,
rec-00000172-aaa-0,Joan,Simiyu,Female,20090828,Taveta,011-655-0497,199404211754014
rec-00000173-aaa-0,Billy,Cherop,Male,20040317,Wote,025-197-7458,199808207951689
rec-00000174-aaa-0,Edith,Kiprono,Female,19910230,Kikuyu,033-934-2678,199704061687133
rec-00000175-aaa-0,Caroline,Onyango,Female,19980129,Thika,011-652-4810,199308011196952
rec-00000175-bbb-0,Carol7ne,Ontango,Female,19980129,,,
rec-00000176-aaa-0,Emmanuel,Nyakundi,Male,20050713,Nairobi,058-797-5784,199502145755311
rec-00000177-aaa-0,Monicah,Okoth,Female,19950726,Naivasha,011-594-5465,199508197770658
rec-00000178-aaa-0,Prudence,Ali,Female,20010304,Mariakani,098-111-5904,200105041771011
rec-00000178-bbb-0,Prudnce,Aly,,,Mariakani,098-111-5904,20010504q771011
rec-00000178-bbb-1,Prue,Alc,Female,,,098-111-5904,200100741771011
rec-00000179-aaa-0,Jerono,Nyongesa,Female,20020501,Eldoret,047-997-1111,199911262362057
rec-00000179-bbb-0,Jeeono,Nyonkesa,Female,20020501,,,199911262372057
rec-00000180-aaa-0,Francis,Komen,Male,19940301,Kitengela,011-114-7390,199306098273839
rec-00000180-bbb-0,Francy,K9jen,Male,,,011-114-7390,099306098q7839
rec-00000180-bbb-1,,Komemno,Male,,,011-114-7390,1993060982730839
rec-00000181-aaa-0,Okoth,Bosire,Male,19940815,Maragua,011-114-1735,199812033788019
rec-00000182-aaa-0,Sylvia,Oketch,Female,19990808,Eldoret,025-118-2878,200205279493472
rec-00000183-aaa-0,Kenedy,Kamau,Male,19951106,Malava,033-443-5458,199910027839821
rec-00000184-aaa-0,Hussein,Ndiwa,Male,20001014,Kisumu,091-142-0608,200506099032368
rec-00000185-aaa-0,Halima,Gathoni,Female,19970212,Nanyuki,011-111-4565,200512285175663
rec-00000185-bbb-0,Halina,Gathony,,19970212,Nanyuki,011-111-3565,200512285135663
rec-00000185-bbb-1,,Gathoni,,19970222,Nanyuki,,200512285175763
rec-00000186-aaa-0,Racheal,Okumu,Female,19920727,Moyale,033-990-8303,200106246367808
rec-00000187-aaa-0,Agnes,Ali,Female,20080425,Nairobi,011-363-8398,199202205048437
rec-00000188-aaa-0,Franklin,Hussein,Male,19960211,Nakuru,011-111-4293,200805025736828
rec-00000189-aaa-0,Sharon,Cheruto,Female,20000605,Homa Bay,011-114-2769,200005037825619
rec-00000189-bbb-0,Sherry,,Female,,,011-11r-2y69,200005037825619
rec-00000190-aaa-0,Geoffrey,Odhiambo,Male,20011007,Eldoret,091-174-6040,200511274241577
rec-00000190-bbb-0,,Odhiambo,Male,,,092-174-6040,
rec-00000191-aaa-0,Maina,Kiptoo,Male,19970810,Mtwapa,046-271-4372,199906218196548
rec-00000192-aaa-0,David,Okeyo,Male,19960314,Garissa,091-861-9208,199712093322615
rec-00000192-bbb-0,David,Okeyo,,,,091-861-i208,
rec-00000193-aaa-0,Stanley,Makori,Male,20001216,Kamulu,098-119-5934,199811169079257
rec-00000194-aaa-0,Philip,Wakhungu,Male,20020504,Kikuyu,011-111-0880,201209054664931
rec-00000195-aaa-0,Collins,Ali,Male,19981116,Kisumu,025-159-9485,199303124823174
rec-00000195-bbb-0,Collins,Ali,,,,025-149-9485,
rec-00000195-bbb-1,,Ali,Male,,,024-159-9485,
rec-00000196-aaa-0,Awuor,Wamalwa,Female,19931209,Moyale,098-119-0837,200803177934459
rec-00000196-bbb-0,Awhuor,Wamala,,,,098-119-0837,200803177934459
rec-00000197-aaa-0,Brendah,Macharia,Female,19950203,Mombasa,011-111-1299,200303230235984
rec-00000198-aaa-0,Wilfred,Otieno,Male,19870114,Mandera,011-382-8478,199806045870909
rec-00000199-aaa-0,Christine,Wekesa,Female,20050616,Nairobi,098-119-2615,199702179564272
rec-00000200-aaa-0,Nelly,Wanjiku,Female,20061017,Bondo,011-651-6093,199604065438677
rec-00000201-aaa-0,Victor,Auma,Male,19970627,Thika,011-651-8815,199811114412727
rec-00000202-aaa-0,Peter,Kipchumba,Male,20100202,Meru,091-611-2422,199501202700149
rec-00000202-bbb-0,Perre,Kipcheuhga,,20100102,Meru,091-612-2422,199501202700149
rec-00000203-aaa-0,Samson,Okoth,Male,19991030,Embu,091-762-0651,199804166869907
rec-00000204-aaa-0,Rebecca,Kathure,Female,19970702,Lodwar,011-271-0589,200605058934734
rec-00000205-aaa-0,Macharia,Kipruto,Male,20030804,Ngong,091-622-5252,199803054809126
rec-00000206-aaa-0,Martin,Maalim,Male,19960716,Kakamega,091-894-5885,199510265890323
